Study Accession,Sample Accession or Sample ID,gmhi_value,isHealthy
N5,SRR5279229,-0.2152775702659868,False
N7,SAMN08814014,-0.21405773360984134,False
PRJEB12123,SAMEA3708485,-0.2126759230043342,False
PRJEB6070,SAMEA2466953,-0.21001269642488316,False
N5,SRR5279256,-0.20866751463094468,False
N7,SAMN08813995,-0.2069440536362213,False
C1,SRR3582180,-0.20684481174901453,False
PRJNA422434,SAMN00715272,-0.20642362351213195,False
PRJNA422434,SAMN00791933,-0.20567484201351788,True
PRJEB12123,SAMEA3708631,-0.2023681290349298,True
PRJEB12947,SAMEA3888905,-0.20221241168857182,False
PRJNA389280,SAMN07424407,-0.19515112153340472,True
PRJEB1220,SAMEA2042582,-0.19178621081769961,False
PRJNA319574,SAMN06110340,-0.1907981520086837,True
PRJEB1220,SAMEA1965384,-0.19012873918376316,False
PRJEB7774,SAMEA3136689,-0.1900525717505475,False
PRJEB13870,SAMEA3951646,-0.18709973179316627,True
PRJNA299502,SAMN04209228,-0.1869545264372995,False
PRJNA299502,SAMN04209232,-0.18673604700091054,False
PRJNA422434,SAMN00792060,-0.1857770631809053,False
N5,SRR5279286,-0.18326969946375024,False
V1,RHB_RAM_0026,-0.18217028857505763,False
PRJEB6337,SAMEA2582004,-0.17995977863841287,False
PRJNA48479,SAMN00032889,-0.179593234000567,True
PRJNA389280,SAMN07424324,-0.17947429141338953,True
PRJEB21528,SAMEA104142142,-0.179304368517232,True
PRJNA319574,SAMN06110150,-0.17891556652513976,True
PRJEB11532,SAMEA3664685,-0.17761747408823791,True
PRJEB21528,SAMEA104142207,-0.17745030286830552,False
PRJNA268964,SAMN03283270,-0.17720060940857255,False
PRJNA319574,SAMN06110214,-0.1762358030726904,True
PRJEB12123,SAMEA3708482,-0.17558467979781914,False
PRJNA319574,SAMN06110237,-0.1748434487827771,True
PRJEB21528,SAMEA104142328,-0.17362767820566033,True
PRJNA422434,SAMN00791966,-0.17362767820566033,True
PRJEB6997,SAMEA2737691,-0.1722460911905098,False
PRJEB1220,SAMEA2042381,-0.1706765220047884,False
PRJNA422434,SAMN00715265,-0.17036090054272768,False
PRJNA389280,SAMN07424440,-0.16990700759028166,False
PRJEB21528,SAMEA104142097,-0.16828765506069354,True
PRJEB6997,SAMEA2737669,-0.16576481969568604,False
PRJNA422434,SAMN00791977,-0.16536315432686935,False
PRJEB6337,SAMEA2581907,-0.16488880317873905,True
PRJEB12449,SAMEA3879594,-0.16396103845929164,False
PRJEB1220,SAMEA2042660,-0.16281741968655647,False
PRJEB6997,SAMEA2737868,-0.16160813722955442,False
PRJEB11532,SAMEA3665287,-0.1598712597661323,True
N7,SAMD00114892,-0.1594288676870074,False
PRJNA328899,SAMN05414961,-0.15905272043313676,True
PRJNA319574,SAMN06110256,-0.15897663126232287,True
PRJEB1220,SAMEA1965767,-0.1575240826310598,False
PRJNA422434,SAMN00792047,-0.15694747857549649,False
PRJEB6997,SAMEA2737781,-0.1569302634785612,False
PRJEB1220,SAMEA2042504,-0.15662443261285358,False
PRJEB6997,SAMEA2737812,-0.1563889609239236,False
N7,SAMN08813994,-0.15513487595656691,False
L1,SAMEA2582147,-0.1542334970533305,False
PRJNA319574,SAMN06110429,-0.1536283816564351,True
PRJNA319574,SAMN06110065,-0.15336127486682852,True
N8,SAMEA4817896,-0.15167531687098762,True
PRJNA385949,SAMN07199960,-0.15094898271968693,False
PRJNA422434,SAMN00791967,-0.14875109571348424,True
PRJEB21528,SAMEA104142329,-0.14875109571348424,False
PRJEB21528,SAMEA104142343,-0.14861195451688416,True
PRJNA422434,SAMN00791951,-0.14861195451688416,True
PRJNA48479,SAMN00031604,-0.14738841033283115,True
PRJNA268964,SAMN03283263,-0.14654125401228685,False
L1,SAMEA2582146,-0.1447026748936823,False
N7,SAMN08814028,-0.14445495829953517,False
PRJNA319574,SAMN06110460,-0.14380555257215885,True
PRJNA48479,SAMN00082542,-0.1408809292100288,True
PRJEB12123,SAMEA3708583,-0.1382381822855568,True
PRJEB11532,SAMEA3664878,-0.13691334153055304,True
PRJEB7774,SAMEA3136658,-0.13549221487655053,False
PRJEB10878,SAMEA3541498,-0.13525383261955218,False
L1,SAMEA2582024,-0.1343425655972731,False
PRJDB3601,SAMD00036204,-0.13381244524042135,True
PRJEB4336,SAMEA2154620,-0.13325435856097625,True
PRJEB4336,SAMEA2150563,-0.1309925333683142,False
N1,SAMN07449003,-0.12801975068425828,True
PRJEB6456,SAMEA2580012,-0.1267559609084711,True
PRJNA299502,SAMN04209230,-0.1264856022101852,False
PRJEB4336,SAMEA2156714,-0.12609946876117076,True
PRJEB15371,SAMEA4431955,-0.12204219548731991,True
N7,SAMN08814019,-0.12179980799187105,False
V1,RHB_RAM_0076,-0.12167278848719996,False
PRJEB6337,SAMEA2581967,-0.12095768168418199,True
PRJNA389280,SAMN07424416,-0.12083839046094579,False
