Study Accession,Sample Accession or Sample ID,MDS1,MDS2,isHealthy
L1,SAMEA2582145,-0.45297403749969867,0.23784165340475294,False
PRJEB6997,SAMEA2737702,-0.24537621486081573,0.3135473458072409,False
PRJEB21528,SAMEA104142161,-0.35987448594097726,0.37500138910589387,False
PRJNA422434,SAMN00715154,-0.6151105139762001,0.14439850176272565,False
L1,SAMEA2582141,-0.4546206014323346,0.22065644449782937,False
PRJEB15371,SAMEA4431907,-0.4512647999426119,0.41987626296167563,False
L1,SAMEA2582098,-0.012921226119568736,0.3513666814197523,False
PRJEB15371,SAMEA4431896,-0.49453303917113844,0.18864100762789862,False
PRJEB15371,SAMEA4431879,-0.37502682178991614,0.39932868077560824,False
PRJNA422434,SAMN00715275,-0.40595940788783674,0.16454182066584,False
PRJEB10878,SAMEA3541590,-0.14478986698841234,0.30194732439657523,False
L1,SAMEA2582133,-0.27590981482302246,0.04802830843619398,False
PRJEB21528,SAMEA104142182,-0.3754397653669681,0.35079164887903946,False
L1,SAMEA2582048,-0.38864796092952825,-0.14122842244149672,False
PRJEB6070,SAMEA2467062,-0.28123574208781105,-0.1422296536299178,False
PRJEB15371,SAMEA4431869,-0.4277694383235069,0.1794389584533522,False
PRJEB6337,SAMEA2581935,-0.1774928209484347,0.4733848982462704,False
PRJEB7774,SAMEA3136680,0.04638588360566646,0.3464810524866247,False
PRJEB21528,SAMEA104142315,-0.20289098541516115,0.297968060510487,False
PRJEB21528,SAMEA104142156,-0.1607980345526247,0.2450727706433765,False
PRJEB1220,SAMEA2042988,0.0354446576250607,0.49062832557426256,False
PRJEB7774,SAMEA3136719,0.3391953082656434,0.21346983131481545,False
L1,SAMEA2582071,-0.3960293022731006,0.368542274307081,False
PRJEB7774,SAMEA3136697,-0.32583793030105485,0.17771108014233,False
PRJEB21528,SAMEA104142206,-0.3689728737796352,0.2168664308266517,False
N7,SAMN08813975,0.09714653588592546,-0.2912701728890372,False
PRJEB10878,SAMEA3541576,-0.46466673289575566,0.186273159850866,False
PRJEB21528,SAMEA104142191,-0.3996115642845383,0.15146865425403672,False
PRJEB7774,SAMEA3136693,0.18558236499989525,0.46152033191455477,False
PRJEB7774,SAMEA3136755,0.13798728893961568,-0.2605159187948474,False
PRJEB6997,SAMEA2737761,-0.04674375848279118,0.5194983721597569,False
PRJEB21528,SAMEA104142313,-0.3169735149796165,0.18771908980082272,False
N7,SAMD00114912,0.1929269001253685,0.25809999656330096,False
PRJEB6997,SAMEA2737750,-0.01408819336955175,0.47238317111391875,False
PRJEB7774,SAMEA3136763,-0.06482372364824221,0.2231533564167307,False
PRJEB6070,SAMEA2466968,0.21049087151620915,0.28101818903889897,False
L1,SAMEA2582131,-0.23412553655755527,0.2409569513524398,False
PRJEB6070,SAMEA2466935,0.023424089046170417,0.2479686542724024,False
L1,SAMEA2582040,-0.1553786231885823,0.34408147472627465,False
PRJNA299502,SAMN04209231,-0.17574980667218204,-0.27164245012573734,False
N8,SAMEA4817937,-0.059838388024155524,0.3514243661056084,False
PRJEB6997,SAMEA2737690,-0.05410109592190822,-0.39062734985533165,False
PRJNA422434,SAMN00715210,-0.2759721463919359,0.5336302530388003,False
PRJEB6070,SAMEA2466948,-0.27693969175427635,-0.20257422450003426,False
N7,SAMD00114920,-0.4373625717080439,0.16849234184077824,False
PRJEB12123,SAMEA3708535,-0.5041669948116789,-0.07802038807564324,False
PRJNA422434,SAMN00715231,-0.5063646110333446,0.06685265892249483,False
PRJEB12123,SAMEA3708684,-0.37062010844212573,0.29832167045835795,False
PRJEB10878,SAMEA3541564,-0.2715466086589335,0.37776427965999165,False
PRJEB10878,SAMEA3541581,-0.2258079487376728,0.027342737198973722,False
PRJEB6997,SAMEA2737672,-0.09411079534009902,0.28488626820482355,False
PRJEB6997,SAMEA2737708,0.006069468865014413,0.3469781478263257,False
L1,SAMEA2582076,0.01514735594946918,0.5781482926048692,False
PRJEB6070,SAMEA2466990,-0.18139292299386298,-0.40713400635287783,False
PRJEB7774,SAMEA3136627,-0.02668656238833351,0.32089108450378634,False
PRJEB10878,SAMEA3541513,0.14104190365099806,0.277698088776786,False
PRJEB21528,SAMEA104142305,-0.04118498258655344,0.23109061248573362,False
L1,SAMEA2582108,-0.2708559330120661,0.5153131693026287,False
PRJEB10878,SAMEA3541584,-0.3505081986568565,0.22751177640353965,False
PRJEB21528,SAMEA104142165,-0.50834123969024,0.10223194893625864,False
L1,SAMEA2582135,-0.43893335667654937,-0.22212392419735455,False
PRJEB12123,SAMEA3708612,-0.4541938270570193,-0.008367118494904298,True
PRJEB10878,SAMEA3541515,-0.20013976994122434,0.048453189100988024,False
L1,SAMEA2582101,-0.5184538653738001,0.246693896157583,False
PRJNA422434,SAMN00792111,-0.34534816469031304,0.2613195881517732,False
PRJNA422434,SAMN00792059,-0.07791743300100955,-0.04819568025878933,False
PRJEB10878,SAMEA3541497,-0.1606914012836504,0.44766970654586874,False
PRJNA422434,SAMN00792113,0.08080972570279212,0.3662986340061938,False
PRJNA422434,SAMN00993241,-0.12059178147775981,0.33556417389331267,False
PRJEB21528,SAMEA104142257,-0.1296569450025864,0.2311256845131362,False
L1,SAMEA2582102,-0.6389013468022945,-0.05089864057383737,False
PRJEB6997,SAMEA2737718,-0.10137533172892114,0.41873325073034895,False
L1,SAMEA2582087,-0.18131322575771203,0.10912550743179467,False
PRJEB7774,SAMEA3136716,-0.1429966956483973,-0.4353341713892738,False
L1,SAMEA2582137,-0.48483946389116733,0.19349041226691122,False
PRJEB21528,SAMEA104142195,-0.4451257857294896,0.15306222769066946,False
PRJEB6070,SAMEA2466915,-0.0030747035974396193,0.3009592589582972,False
PRJEB21528,SAMEA104142296,-0.14548258851888432,0.22026342139235103,False
L1,SAMEA2582129,0.053596042626079074,0.3461758045523664,False
PRJEB1220,SAMEA2042399,-0.36905027491235676,0.31917939509179966,False
PRJEB21528,SAMEA104142158,-0.24938416406193842,0.14656138644934905,False
